UserID,AppID,Timestamp,Action
user0,C1app1,2021/01/01-10:00:00,Install
user0,C1app1,2021/02/01-10:00:00,Install
user0,C1app1,2021/03/01-10:00:00,Install
user0,C1app1,2021/04/01-10:00:00,Install
user0,C1app1,2021/05/01-10:00:00,Install
user0,C1app1,2021/06/01-10:00:00,Install
user0,C1app1,2021/07/01-10:00:00,Install
user0,C1app1,2021/08/01-10:00:00,Install
user0,C1app1,2021/09/01-10:00:00,Install
user0,C1app1,2021/10/01-10:00:00,Install
user0,C1app1,2021/11/01-10:00:00,Install
user0,C1app1,2021/12/01-10:00:00,Install
user1,C1app1,2021/01/01-10:00:00,Install
user1,C1app1,2021/02/01-10:00:00,Install
user1,C1app1,2021/03/01-10:00:00,Install
user1,C1app1,2021/04/01-10:00:00,Install
user1,C1app1,2021/05/01-10:00:00,Install
user1,C1app1,2021/06/01-10:00:00,Install
user1,C1app1,2021/07/01-10:00:00,Install
user1,C1app1,2021/08/01-10:00:00,Install
user1,C1app1,2021/09/01-10:00:00,Install
user1,C1app1,2021/10/01-10:00:00,Install
user1,C1app1,2021/11/01-10:00:00,Install
user1,C1app1,2021/12/01-10:00:00,Install
user2,C1app1,2021/01/01-10:00:00,Install
user2,C1app1,2021/02/01-10:00:00,Install
user2,C1app1,2021/03/01-10:00:00,Install
user2,C1app1,2021/04/01-10:00:00,Install
user2,C1app1,2021/05/01-10:00:00,Install
user2,C1app1,2021/06/01-10:00:00,Install
user2,C1app1,2021/07/01-10:00:00,Install
user2,C1app1,2021/08/01-10:00:00,Install
user2,C1app1,2021/09/01-10:00:00,Install
user2,C1app1,2021/10/01-10:00:00,Install
user2,C1app1,2021/11/01-10:00:00,Install
user2,C1app1,2021/12/01-10:00:00,Install
user3,C1app1,2021/01/01-10:00:00,Install
user3,C1app1,2021/02/01-10:00:00,Install
user3,C1app1,2021/03/01-10:00:00,Install
user3,C1app1,2021/04/01-10:00:00,Install
user3,C1app1,2021/05/01-10:00:00,Install
user3,C1app1,2021/06/01-10:00:00,Install
user3,C1app1,2021/07/01-10:00:00,Install
user3,C1app1,2021/08/01-10:00:00,Install
user3,C1app1,2021/09/01-10:00:00,Install
user3,C1app1,2021/10/01-10:00:00,Install
user3,C1app1,2021/11/01-10:00:00,Install
user3,C1app1,2021/12/01-10:00:00,Install
user4,C1app1,2021/01/01-10:00:00,Install
user4,C1app1,2021/02/01-10:00:00,Install
user4,C1app1,2021/03/01-10:00:00,Install
user4,C1app1,2021/04/01-10:00:00,Install
user4,C1app1,2021/05/01-10:00:00,Install
user4,C1app1,2021/06/01-10:00:00,Install
user4,C1app1,2021/07/01-10:00:00,Install
user4,C1app1,2021/08/01-10:00:00,Install
user4,C1app1,2021/09/01-10:00:00,Install
user4,C1app1,2021/10/01-10:00:00,Install
user4,C1app1,2021/11/01-10:00:00,Install
user4,C1app1,2021/12/01-10:00:00,Install
user5,C1app1,2021/01/01-10:00:00,Install
