SaleTimestamp,UserID,ItemID,SalePrice
2023/02/02-09:15:01,User1,ID1,50.99
2023/02/02-09:15:01,User1,ID2,5.99
2023/02/03-09:15:01,User1,ID1,10.99
2023/02/01-09:15:01,User2,ID1,50.99
2023/02/01-09:15:01,User2,ID2,5.99
2023/02/02-09:15:01,User3,ID1,50.99
2023/02/02-09:15:01,User3,ID2,5.99
2023/02/03-09:15:01,User3,ID3,10.99
2022/02/02-09:15:01,User1,ID4,5.99
2022/02/03-09:15:01,User1,ID5,10.99
2022/02/01-09:15:01,User2,ID6,50.99
2022/02/01-09:15:01,User2,ID7,5.99
2022/02/02-09:15:01,User3,ID1,50.99
2022/02/02-09:15:01,User3,ID2,5.99
2022/02/03-09:15:01,User3,ID3,10.99
2022/02/03-09:15:01,User3,ID4,1.99
2021/02/02-09:15:01,User3,ID2,5.99
2021/02/03-09:15:01,User3,ID3,10.99
2021/02/03-09:15:01,User3,ID4,1.99
